retailer,base_url,status_codes_seen,platforms,cdn_or_waf,protection_signals,product_signals,useful_paths,recommended_next_step
Surf FX,https://www.surffx.com.au,"[200, 400, 404]","[""Salesforce Commerce Cloud"", ""Shopify"", ""WooCommerce"", ""WordPress""]","[""Cloudflare"", ""Cloudflare, Shopify Edge""]","[""Bot challenge"", ""Cloudflare challenge"", ""Geo restriction""]","[""JSON products array"", ""Product URL references"", ""Retail product content"", ""Surfboard keyword content"", ""XML sitemap""]","[""/products"", ""/shop"", ""/search?q=surfboard"", ""/search?type=product&q=surfboard"", ""/"", ""/robots.txt"", ""/sitemap.xml"", ""/products.json?limit=250"", ""/collections/all/products.json?limit=250"", ""/collections/surfboards/products.json?limit=250""]",Likely structured product feed available. Build or fix feed scraper first.
Mundo Surf,https://www.mundo-surf.com,"[200, 404]",[],"[""Cloudflare""]","[""Cloudflare challenge""]",[],[],"Protection or restriction detected. Use public sitemap, retailer feed, approved API, affiliate feed, or manual partnership path."
Le BAO,https://www.lebao.com.au,[],[],[],[],[],[],No reliable product path found. Needs manual inspection.
Board Collectors,https://www.boardcollectors.com,[],[],[],[],[],[],No reliable product path found. Needs manual inspection.
Surfstitch,https://www.surfstitch.com,"[200, 400, 404]","[""Custom or unknown ecommerce"", ""Shopify""]","[""Cloudflare"", ""Cloudflare, Shopify Edge""]","[""Cloudflare challenge""]","[""JSON products array"", ""Product URL references"", ""Retail product content"", ""XML sitemap""]","[""/products.json?limit=250"", ""/collections/all/products.json?limit=250"", ""/collections/surfboards/products.json?limit=250"", ""/robots.txt"", ""/sitemap.xml""]",Likely structured product feed available. Build or fix feed scraper first.
Seaside Surf Shop,https://www.seasidesurfshop.com.au,[],[],[],[],[],[],No reliable product path found. Needs manual inspection.
12 Board Store,https://www.12boardstore.com.au,[],[],[],[],[],[],No reliable product path found. Needs manual inspection.
Strapper Surf,https://www.strapper.com.au,"[200, 404]","[""WooCommerce"", ""WordPress""]",[],"[""Bot challenge"", ""Geo restriction""]","[""Retail product content"", ""Surfboard keyword content"", ""XML sitemap""]","[""/"", ""/sitemap.xml""]","WooCommerce detected. Build scraper around Store API, product sitemap, or product schema."
Surf Dive n Ski,https://www.sds.com.au,[],[],[],[],[],[],No reliable product path found. Needs manual inspection.
City Beach,https://www.citybeach.com,[],[],[],[],[],[],No reliable product path found. Needs manual inspection.
Riders Lodge,https://www.riderslodge.com.au,[],[],[],[],[],[],No reliable product path found. Needs manual inspection.
Bennys Boardroom,https://www.bennysboardroom.com.au,[],[],[],[],[],[],No reliable product path found. Needs manual inspection.
Kirra Surf,https://www.kirrasurf.com.au,[],[],[],[],[],[],No reliable product path found. Needs manual inspection.
Boardcave,https://www.boardcave.com.au,[403],"[""WooCommerce"", ""WordPress""]","[""Cloudflare"", ""Cloudflare, PerimeterX""]","[""Blocking or challenge status 403"", ""Cloudflare challenge"", ""Geo restriction"", ""JavaScript required"", ""PerimeterX challenge""]","[""Surfboard keyword content""]",[],"WooCommerce detected. Build scraper around Store API, product sitemap, or product schema."
Trigger Bros,https://www.triggerbrothers.com.au,[403],"[""WooCommerce"", ""WordPress""]","[""Cloudflare""]","[""Blocking or challenge status 403"", ""Cloudflare challenge"", ""Geo restriction"", ""JavaScript required""]","[""Surfboard keyword content""]",[],"WooCommerce detected. Build scraper around Store API, product sitemap, or product schema."
Ocean and Earth,https://www.oceanearthstore.com,"[200, 404]","[""Shopify"", ""WooCommerce"", ""WordPress""]","[""Cloudflare, Shopify Edge""]","[""Bot challenge"", ""Cloudflare challenge"", ""Geo restriction""]","[""Product URL references"", ""Retail product content"", ""Surfboard keyword content""]","[""/collections/all"", ""/collections/surfboard"", ""/products"", ""/api/products"", ""/shop"", ""/search?q=surfboard"", ""/search?type=product&q=surfboard"", ""/robots.txt""]","Shopify detected, but common feeds may be blocked or unavailable. Test collection handles and sitemap product URLs."
Momentum Surf,https://www.momentumsurf.com.au,[],[],[],[],[],[],No reliable product path found. Needs manual inspection.
SDS Surf,https://www.sds.com.au,"[200, 400, 404]","[""Custom or unknown ecommerce"", ""Salesforce Commerce Cloud"", ""Shopify"", ""WooCommerce"", ""WordPress""]","[""Cloudflare"", ""Cloudflare, Shopify Edge""]","[""Bot challenge"", ""Cloudflare challenge"", ""Geo restriction"", ""PerimeterX challenge""]","[""JSON products array"", ""Product URL references"", ""Retail product content"", ""Surfboard keyword content""]","[""/search?q=surfboard"", ""/search?type=product&q=surfboard"", ""/collections/all/products.json?limit=250"", ""/collections/surfboards/products.json?limit=250"", ""/collections/all"", ""/products"", ""/shop"", ""/search?q=surfboard"", ""/search?type=product&q=surfboard""]",Likely structured product feed available. Build or fix feed scraper first.
